"epoch","MoE_0129_92hk0cay - awl_param_class","MoE_0129_92hk0cay - awl_param_class__MIN","MoE_0129_92hk0cay - awl_param_class__MAX","MoE_0129_92hk0cay - _step","MoE_0129_92hk0cay - _step__MIN","MoE_0129_92hk0cay - _step__MAX","MoE_0129_92hk0cay - awl_param_reg","MoE_0129_92hk0cay - awl_param_reg__MIN","MoE_0129_92hk0cay - awl_param_reg__MAX"
"159","0.26998767256736755","0.26998767256736755","0.26998767256736755","159","159","159","0.2269798070192337","0.2269798070192337","0.2269798070192337"
"160","0.2689679265022278","0.2689679265022278","0.2689679265022278","160","160","160","0.2265133261680603","0.2265133261680603","0.2265133261680603"
"161","0.26799023151397705","0.26799023151397705","0.26799023151397705","161","161","161","0.22618362307548523","0.22618362307548523","0.22618362307548523"
"162","0.2669987380504608","0.2669987380504608","0.2669987380504608","162","162","162","0.22586816549301147","0.22586816549301147","0.22586816549301147"
"163","0.2662579119205475","0.2662579119205475","0.2662579119205475","163","163","163","0.22577619552612305","0.22577619552612305","0.22577619552612305"
"164","0.2652311325073242","0.2652311325073242","0.2652311325073242","164","164","164","0.2254956215620041","0.2254956215620041","0.2254956215620041"
"165","0.2642712891101837","0.2642712891101837","0.2642712891101837","165","165","165","0.22526265680789948","0.22526265680789948","0.22526265680789948"
"166","0.2632843554019928","0.2632843554019928","0.2632843554019928","166","166","166","0.22498084604740143","0.22498084604740143","0.22498084604740143"
"167","0.26254087686538696","0.26254087686538696","0.26254087686538696","167","167","167","0.22497735917568207","0.22497735917568207","0.22497735917568207"
"168","0.2616373300552368","0.2616373300552368","0.2616373300552368","168","168","168","0.22476321458816528","0.22476321458816528","0.22476321458816528"
"169","0.2610297203063965","0.2610297203063965","0.2610297203063965","169","169","169","0.22471225261688232","0.22471225261688232","0.22471225261688232"
"170","0.26034948229789734","0.26034948229789734","0.26034948229789734","170","170","170","0.22460266947746277","0.22460266947746277","0.22460266947746277"
"171","0.25987523794174194","0.25987523794174194","0.25987523794174194","171","171","171","0.22437091171741486","0.22437091171741486","0.22437091171741486"
"172","0.2593981921672821","0.2593981921672821","0.2593981921672821","172","172","172","0.22407743334770203","0.22407743334770203","0.22407743334770203"
"173","0.2588508129119873","0.2588508129119873","0.2588508129119873","173","173","173","0.22378559410572052","0.22378559410572052","0.22378559410572052"
"174","0.2583337426185608","0.2583337426185608","0.2583337426185608","174","174","174","0.22350123524665833","0.22350123524665833","0.22350123524665833"
"175","0.2577956020832062","0.2577956020832062","0.2577956020832062","175","175","175","0.2232731282711029","0.2232731282711029","0.2232731282711029"
"176","0.25726911425590515","0.25726911425590515","0.25726911425590515","176","176","176","0.22304123640060425","0.22304123640060425","0.22304123640060425"
"177","0.2567180395126343","0.2567180395126343","0.2567180395126343","177","177","177","0.22279152274131775","0.22279152274131775","0.22279152274131775"
"178","0.2562178671360016","0.2562178671360016","0.2562178671360016","178","178","178","0.2226254940032959","0.2226254940032959","0.2226254940032959"
"179","0.2557127773761749","0.2557127773761749","0.2557127773761749","179","179","179","0.22240996360778809","0.22240996360778809","0.22240996360778809"
"180","0.2552018165588379","0.2552018165588379","0.2552018165588379","180","180","180","0.22221973538398743","0.22221973538398743","0.22221973538398743"
"181","0.2546399235725403","0.2546399235725403","0.2546399235725403","181","181","181","0.22198784351348877","0.22198784351348877","0.22198784351348877"
"182","0.2541082799434662","0.2541082799434662","0.2541082799434662","182","182","182","0.2217945009469986","0.2217945009469986","0.2217945009469986"
"183","0.2536282241344452","0.2536282241344452","0.2536282241344452","183","183","183","0.2216380536556244","0.2216380536556244","0.2216380536556244"
"184","0.253162145614624","0.253162145614624","0.253162145614624","184","184","184","0.2214563488960266","0.2214563488960266","0.2214563488960266"
"185","0.252655029296875","0.252655029296875","0.252655029296875","185","185","185","0.22127294540405273","0.22127294540405273","0.22127294540405273"
"186","0.25217169523239136","0.25217169523239136","0.25217169523239136","186","186","186","0.22116024792194366","0.22116024792194366","0.22116024792194366"
"187","0.2516680359840393","0.2516680359840393","0.2516680359840393","187","187","187","0.22096462547779083","0.22096462547779083","0.22096462547779083"
"188","0.25122323632240295","0.25122323632240295","0.25122323632240295","188","188","188","0.2208036333322525","0.2208036333322525","0.2208036333322525"
"189","0.2507496774196625","0.2507496774196625","0.2507496774196625","189","189","189","0.2206716239452362","0.2206716239452362","0.2206716239452362"
"190","0.25026288628578186","0.25026288628578186","0.25026288628578186","190","190","190","0.22050881385803223","0.22050881385803223","0.22050881385803223"
"191","0.24976883828639984","0.24976883828639984","0.24976883828639984","191","191","191","0.2204315960407257","0.2204315960407257","0.2204315960407257"
